task,origin,horizon,forecast_year,selected_model,observations,months12_rate_mae,months12_rate_rmse,months12_rate_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error
age_months12,4,1,5,Naive baseline,31744,0.017029971837225776,0.04649773945932716,0.8100780352663128,10641,0.041204449139136956,21103,0.0048402067341770695,6944,0.21875,0.015975989794730017,24800,0.01732508680912459
age_months12,4,2,6,Naive baseline,31744,0.018123715073946133,0.049303038040660746,0.7359504965012074,9021,0.048478266249886125,22723,0.006072999668491105,7739,0.24379410282258066,0.0142485904164821,24005,0.01937302104037455
age_months12,4,3,7,Naive baseline,31744,0.017725554139763476,0.047817879375797116,0.7803321864040925,10311,0.04418287304470863,21327,0.004934190364788587,8605,0.27107484879032256,0.014806794397024457,23139,0.018797620307425822
age_months12,4,4,8,Naive baseline,31744,0.018540262954926143,0.047908295667038685,0.7982349672081812,10945,0.045294478247256555,20746,0.004425499319788944,7861,0.2476373487903226,0.017322518693764714,23883,0.01893837655837414
age_months12,5,1,6,Naive baseline,31744,0.01624919701850731,0.043750279555028714,0.7920783764863261,9021,0.04492487813250692,22723,0.004864990737233248,7739,0.24379410282258066,0.012411562616626058,24005,0.017486416457630785
age_months12,5,2,7,Naive baseline,31744,0.016413010744536438,0.04279393251288838,0.8240658293751268,10311,0.04230399412748929,21327,0.0038954541420313125,8605,0.27107484879032256,0.013409549880635547,23139,0.01751618779982378
age_months12,5,3,8,Naive baseline,31744,0.017687934208941318,0.04727085635912584,0.8035683791888654,10945,0.0443941460758451,20746,0.003598495816804904,7861,0.2476373487903226,0.016831503810477662,23883,0.017967924517998148
age_months12,6,1,7,Naive baseline,31744,0.01525960878320782,0.04083621033451504,0.8397947783131748,10311,0.04094011158958181,21327,0.0028438135735429767,8605,0.27107484879032256,0.012313222424408654,23139,0.016341822261034613
age_months12,6,2,8,Naive baseline,31744,0.01767492146361307,0.04680772898979262,0.80739852833308,10945,0.04598622493488973,20746,0.002738682357610807,7861,0.2476373487903226,0.01596883763143702,23883,0.018232686508273737
age_months12,7,1,8,Naive baseline,31638,0.017007538662800997,0.04539391736538161,0.8193484970604535,10944,0.041997145490172354,20641,0.003757877448772987,7755,0.2451166318983501,0.016789959317105706,23883,0.017077705564804306
